"14éme","14eme"
"acceptant","accepter"
"acceptassent","accepter"
"acceptasses","accepter"
"acceptation","accepter"
"acceptations","accepter"
"accepte","accepter"
"acceptent","accepter"
"acceptera","accepter"
"accepterai","accepter"
"accepteraient","accepter"
"accepterais","accepter"
"accepterait","accepter"
"accepteras","accepter"
"accepterez","accepter"
"accepteriez","accepter"
"accepterions","accepter"
"accepterons","accepter"
"accepteront","accepter"
"acceptes","accepter"
"acceptez","accepter"
"acceptiez","accepter"
"acceptions","accepter"
"acceptons","accepter"
"acceptâmes","accepter"
"acceptât","accepter"
"acceptèrent","accepter"
"accepté","accepter"
"acceptée","accepter"
"acceptées","accepter"
"acceptés","accepter"
"accessibles","accessible"
"accessoires","accessoire"
"accessoiristes","accessoiriste"
"accidentelle","accidentel"
"accidentelles","accidentel"
"accidentels","accidentel"
"accidents","accident"
"accidentée","accidentées"
"accompagna","accompagner"
"accompagnai","accompagner"
"accompagnaient","accompagner"
"accompagnais","accompagner"
"accompagnait","accompagner"
"accompagnant","accompagner"
"accompagnateurs","accompagnateur"
"accompagnatrice","accompagnateur"
"accompagnatrices","accompagnateur"
"accompagne","accompagner"
"accompagnement","accompagner"
"accompagnements","accompagner"
"accompagnent","accompagner"
"accompagnera","accompagner"
"accompagnerai","accompagner"
"accompagneraient","accompagner"
"accompagnerais","accompagner"
"accompagnerait","accompagner"
"accompagneras","accompagner"
"accompagnerez","accompagner"
"accompagneriez","accompagner"
"accompagnerons","accompagner"
"accompagneront","accompagner"
"accompagnes","accompagner"
"accompagnez","accompagner"
"accompagniez","accompagner"
"accompagnions","accompagner"
"accompagnons","accompagner"
"accompagnâmes","accompagner"
"accompagnât","accompagner"
"accompagnèrent","accompagner"
"accompagné","accompagner"
"accompagnée","accompagner"
"accompagnées","accompagner"
"accompagnés","accompagner"
"accompli","accomplir"
"accomplie","accomplir"
"accomplies","accomplir"
"accomplira","accomplir"
"accomplirai","accomplir"
"accompliraient","accomplir"
"accomplirais","accomplir"
"accomplirait","accomplir"
"accompliras","accomplir"
"accomplirent","accomplir"
"accomplirez","accomplir"
"accomplirons","accomplir"
"accompliront","accomplir"
"accomplis","accomplir"
"accomplissaient","accomplir"
"accomplissais","accomplir"
"accomplissait","accomplir"
"accomplissant","accomplir"
"accomplisse","accomplir"
"accomplissements","accomplissement"
"accomplissent","accomplir"
"accomplissez","accomplir"
"accomplissiez","accomplir"
"accomplissions","accomplir"
"accomplissons","accomplir"
"accomplit","accomplir"
"accomplît","accomplir"
"accord-cadre","accord cadrer"
"accorda","accorder"
"accordai","accorder"
"accordaient","accorder"
"accordais","accorder"
"accordait","accorder"
"accordant","accorder"
"accordas","accorder"
"accordassent","accorder"
"accorde","accorder"
"accordent","accorder"
"accordera","accorder"
"accorderai","accorder"
"accorderaient","accorder"
"accorderais","accorder"
"accorderait","accorder"
"accorderas","accorder"
"accorderez","accorder"
"accorderiez","accorder"
"accorderons","accorder"
"accorderont","accorder"
"accordes","accorder"
"accordez","accorder"
"accordiez","accorder"
"accordions","accorder"
"accordons","accorder"
"accords","accord"
"accords-cadres","accord cadrer"
"accordât","accorder"
"accordèrent","accorder"
"accordé","accorder"
"accordée","accorder"
"accordées","accorder"
"accordéons","accordéon"
"accordés","accorder"
"accotements","accotement"
"accoucha","accouchement"
"accouchaient","accouchement"
"accouchais","accouchement"
"accouchait","accouchement"
"accouchant","accouchement"
"accouche","accouchement"
"accouchements","accouchement"
"accouchent","accouchement"
"accoucher","accouchement"
"accouchera","accouchement"
"accoucherait","accouchement"
"accoucheras","accouchement"
"accouches","accouchement"
"accouchez","accouchement"
"accouché","accouchement"
"accouchée","accouchement"
"accouchées","accouchement"
"accouchés","accouchement"
"accoudoirs","accoudoir"
"accoupla","accouplement"
"accouplaient","accouplement"
"accouplais","accouplement"
"accouplait","accouplement"
"accouplant","accouplement"
"accouple","accouplement"
"accouplements","accouplement"
"accouplent","accouplement"
"accoupler","accouplement"
"accouplera","accouplement"
"accouplerait","accouplement"
"accoupleront","accouplement"
"accouplèrent","accouplement"
"accouplé","accouplement"
"accouplée","accouplement"
"accouplées","accouplement"
"accouplés","accouplement"
"accreditation","accréditation"
"accredité","accrédité"
"accrocha","accrocher"
"accrochages","accrochage"
"accrochai","accrocher"
"accrochaient","accrocher"
"accrochais","accrocher"
"accrochait","accrocher"
"accrochant","accrocher"
"accroche","accrocher"
"accrochent","accrocher"
"accrochera","accrocher"
"accrocherai","accrocher"
"accrocheraient","accrocher"
"accrocherais","accrocher"
"accrocherait","accrocher"
"accrocherez","accrocher"
"accrocheriez","accrocher"
"accrocheront","accrocher"
"accroches","accrocher"
"accrocheurs","accrocheur"
"accrocheuse","accrocheur"
"accrocheuses","accrocheur"
"accrochez","accrocher"
"accrochiez","accrocher"
"accrochions","accrocher"
"accrochons","accrocher"
"accrochât","accrocher"
"accrochèrent","accrocher"
"accroché","accrocher"
"accrochée","accrocher"
"accrochées","accrocher"
"accrochés","accrocher"
"accrois","accroître"
"accroissaient","accroître"
"accroissait","accroître"
"accroissant","accroître"
"accroisse","accroître"
"accroissent","accroître"
"accroissez","accroître"
"accroit","accroître"
"accroitrait","accroître"
"accroitre","accroître"
"accros","accro"
"accroît","accroître"
"accroîtra","accroître"
"accroîtrait","accroître"
"accroîtront","accroître"
"accru","accroître"
"accrue","accroître"
"accrues","accroître"
"accrurent","accroître"
"accrus","accroître"
"accrut","accroître"
"accréditations","accréditation"
"accréditée","accrédité"
"accrédités","accrédité"
"accrût","accroître"
"accueillaient","accueillir"
"accueillais","accueillir"
"accueillait","accueillir"
"accueillant","accueillir"
"accueillante","accueillir"
"accueillantes","accueillir"
"accueillants","accueillir"
"accueille","accueillir"
"accueillent","accueillir"
"accueillera","accueillir"
"accueillerai","accueillir"
"accueilleraient","accueillir"
"accueillerait","accueillir"
"accueilleras","accueillir"
"accueillerez","accueillir"
"accueilleriez","accueillir"
"accueillerons","accueillir"
"accueilleront","accueillir"
"accueilles","accueillir"
"accueillez","accueillir"
"accueilli","accueillir"
"accueillie","accueillir"
"accueillies","accueillir"
"accueillirent","accueillir"
"accueillis","accueillir"
"accueillit","accueillir"
"accueillons","accueillir"
"accueillît","accueillir"
"accueils","accueil"
"accumula","accumulation"
"accumulai","accumulation"
"accumulaient","accumulation"
"accumulais","accumulation"
"accumulait","accumulation"
"accumulant","accumulation"
"accumulateurs","accumulateur"
"accumulations","accumulation"
"accumule","accumulation"
"accumulent","accumulation"
"accumuler","accumulation"
"accumulerez","accumulation"
"accumulez","accumulation"
"accumulèrent","accumulation"
"accumulé","accumulation"
"accumulée","accumulation"
"accumulées","accumulation"
"accumulés","accumulation"
"accus","accu"
"accusa","accuser"
"accusai","accuser"
"accusaient","accuser"
"accusais","accuser"
"accusait","accuser"
"accusant","accuser"
"accusations","accusation"
"accuse","accuser"
"accusent","accuser"
"accusera","accuser"
"accuseraient","accuser"
"accuserais","accuser"
"accuserait","accuser"
"accuserez","accuser"
"accuseriez","accuser"
"accuserions","accuser"
"accuserons","accuser"
"accuseront","accuser"
"accuses","accuser"
"accusez","accuser"
"accusiez","accuser"
"accusions","accuser"
"accusons","accuser"
"accusât","accuser"
"accusèrent","accuser"
"accusé","accuser"
"accusée","accuser"
"accusées","accuser"
"accusés","accuser"
"accède","accéder"
"accèdent","accéder"
"accèdes","accéder"
"accéda","accéder"
"accédai","accéder"
"accédaient","accéder"
"accédais","accéder"
"accédait","accéder"
"accédant","accéder"
"accédera","accéder"
"accéderai","accéder"
"accéderaient","accéder"
"accéderais","accéder"
"accéderait","accéder"
"accéderas","accéder"
"accédez","accéder"
"accédons","accéder"
"accédâmes","accéder"
"accédé","accéder"
"accélère","accélérer"
"accélèrent","accélérer"
"accélères","accélérer"
"accéléra","accélérer"
"accélérai","accélérer"
"accéléraient","accélérer"
"accélérais","accélérer"
"accélérait","accélérer"
"accélérant","accélérer"
"accélérants","accélérer"
"accélérateurs","accélérateur"
"accélérations","accélération"
"accélératrice","accélérateur"
"accélérera","accélérer"
"accélérerait","accélérer"
"accéléreras","accélérer"
"accélérez","accélérer"
"accélériez","accélérer"
"accélérons","accélérer"
"accélérèrent","accélérer"
"accéléré","accélérer"
"accélérée","accélérer"
"accélérées","accélérer"
"accélérés","accélérer"
"acetate","acétate"
"acetylene","acétylène"
"achat-revente","achat revente"
"achat-vente","achat vente"
"achats","achat"
"achats&logistique","achat logistique"
"achats-approvisionnements","achat approvisionnement"
"achemina","acheminement"
"acheminai","acheminement"
"acheminaient","acheminement"
"acheminait","acheminement"
"acheminant","acheminement"
"achemine","acheminement"
"acheminent","acheminement"
"acheminer","acheminement"
"achemineront","acheminement"
"acheminons","acheminement"
"acheminâmes","acheminement"
"acheminèrent","acheminement"
"acheminé","acheminement"
"acheminée","acheminement"
"acheminées","acheminement"
"acheminés","acheminement"
"aches","ache"
"acheta","acheter"
"achetai","acheter"
"achetaient","acheter"
"achetais","acheter"
"achetait","acheter"
"achetant","acheter"
"achetassent","acheter"
"acheteur","acheter"
"acheteur-vendeur","acheter vendeur"
"acheteurs","acheter"
"acheteuse","acheter"
"acheteuses","acheter"
"achetez","acheter"
"achetiez","acheter"
"achetions","acheter"
"achetons","acheter"
"achetâmes","acheter"
"achetât","acheter"
"achetèrent","acheter"
"acheté","acheter"
"achetée","acheter"
"achetées","acheter"
"achetés","acheter"
"acheva","achever"
"achevai","achever"
"achevaient","achever"
"achevais","achever"
"achevait","achever"
"achevant","achever"
"achevez","achever"
"acheviez","achever"
"achevions","achever"
"achevons","achever"
"achevâmes","achever"
"achevât","achever"
"achevèrent","achever"
"achevé","achever"
"achevée","achever"
"achevées","achever"
"achevés","achever"
"achète","acheter"
"achètent","acheter"
"achètera","acheter"
"achèterai","acheter"
"achèteraient","acheter"
"achèterais","acheter"
"achèterait","acheter"
"achèteras","acheter"
"achèterez","acheter"
"achèteriez","acheter"
"achèterions","acheter"
"achèterons","acheter"
"achèteront","acheter"
"achètes","acheter"
"achève","achever"
"achèvements","achèvement"
"achèvent","achever"
"achèvera","achever"
"achèverai","achever"
"achèveraient","achever"
"achèverait","achever"
"achèverez","achever"
"achèverons","achever"
"achèveront","achever"
"achèves","achever"
"acide-base","acide basée"
"acides","acide"
"acidités","acidité"
"acier-béton","acier béton"
"aciers","acier"
"aciéries","aciérie"
"acomptes","acompte"
"acoustiques","acoustique"
"acquerra","acquérir"
"acquerrai","acquérir"
"acquerraient","acquérir"
"acquerront","acquérir"
"acquiers","acquérir"
"acquiert","acquérir"
"acquirent","acquérir"
"acquis","acquérir"
"acquise","acquérir"
"acquises","acquérir"
"acquisitions","acquisition"
"acquit","acquérir"
"acquits","acquérir"
"acquitta","acquitter"
"acquittai","acquitter"
"acquittaient","acquitter"
"acquittais","acquitter"
"acquittait","acquitter"
"acquittant","acquitter"
"acquitte","acquitter"
"acquittent","acquitter"
"acquittera","acquitter"
"acquitterai","acquitter"
"acquitterais","acquitter"
"acquitterait","acquitter"
"acquitterez","acquitter"
"acquittes","acquitter"
"acquittez","acquitter"
"acquittions","acquitter"
"acquittât","acquitter"
"acquitté","acquitter"
"acquittée","acquitter"
"acquittés","acquitter"
"acquière","acquérir"
"acquièrent","acquérir"
"acquéraient","acquérir"
"acquérais","acquérir"
"acquérait","acquérir"
"acquérant","acquérir"
"acquéreurs","acquéreur"
"acquérions","acquérir"
"acquérons","acquérir"
"acrobatiques","acrobatique"
"acryliques","acrylique"
"acta","action"
"acter","action"
"actes","acte"
"acteurs","acteur"
"actifs","actif"
"action-suivi","action suivi"
"actionna","actionner"
"actionnai","actionner"
"actionnaient","actionner"
"actionnaires","actionnaire"
"actionnais","actionner"
"actionnait","actionner"
"actionnant","actionner"
"actionne","actionner"
"actionnent","actionner"
"actionneront","actionner"
"actionneur","actionner"
"actionnez","actionner"
"actionnât","actionner"
"actionné","actionner"
"actionnée","actionner"
"actionnées","actionner"
"actionnés","actionner"
"actions","action"
"activa","actif"
"activai","actif"
"activaient","actif"
"activait","actif"
"activant","actif"
"activateur","actif"
"activation","actif"
"activations","actif"
"active","actif"
"activent","actif"
"activer","actif"
"activera","actif"
"activerai","actif"
"activerait","actif"
"activeras","actif"
"actives","actif"
"activez","actif"
"activités","activité"
"activons","actif"
"activèrent","actif"
"activé","actif"
"activée","actif"
"activées","actif"
"activés","actif"
"actrice","acteur"
"actrices","acteur"
"actualise","actualiser"
"actualisez","actualiser"
"actualisé","actualiser"
"actualisée","actualiser"
"actualisées","actualiser"
"actualités","actualité"
"actuelle","actuel"
"actuelles","actuel"
"actuels","actuel"
"adages","adage"
"adapta","adapter"
"adaptabilite","adaptabilité"
"adaptables","adaptable"
"adaptai","adapter"
"adaptaient","adapter"
"adaptais","adapter"
"adaptait","adapter"
"adaptant","adapter"
"adaptateurs","adaptateur"
"adaptatifs","adaptatif"
"adaptation","adapter"
"adaptations","adapter"
"adapte","adapter"
"adaptent","adapter"
"adaptera","adapter"
"adapterai","adapter"
"adapterais","adapter"
"adapterait","adapter"
"adapteras","adapter"
"adapterez","adapter"
"adapterons","adapter"
"adapteront","adapter"
"adaptes","adapter"
"adaptez","adapter"
"adaptât","adapter"
"adaptèrent","adapter"
"adapté","adapter"
"adaptée","adapter"
"adaptées","adapter"
"adaptés","adapter"
"additifs","additif"
"additionnelle","additionnel"
"additionnelles","additionnel"
"additionnels","additionnel"
"additions","addition"
"adducteurs","adducteur"
"adelaïde","adelaide"
"adeptes","adepte"
"adhère","adhérer"
"adhèrent","adhérer"
"adhéra","adhérer"
"adhéraient","adhérer"
"adhérais","adhérer"
"adhérait","adhérer"
"adhérant","adhérer"
"adhérences","adhérence"
"adhérente","adhérent"
"adhérentes","adhérent"
"adhérents","adhérent"
"adhérez","adhérer"
"adhéré","adhérer"
"adhésifs","adhésif"
"adhésions","adhésion"
"adhésive","adhésif"
"adhésives","adhésif"
"adhésivés","adhesives"
"adjacente","adjacent"
"adjacentes","adjacent"
"adjacents","adjacent"
"adjoignait","adjoindre"
"adjoignant","adjoindre"
"adjoigne","adjoindre"
"adjoignit","adjoindre"
"adjoignît","adjoindre"
"adjoindra","adjoindre"
"adjoindront","adjoindre"
"adjoins","adjoindre"
"adjoint","adjoindre"
"adjointe","adjoindre"
"adjointes","adjoindre"
"adjoints","adjoindre"
"adjudications","adjudication"
"adjuvants","adjuvant"
"administra","administration"
"administrai","administration"
"administraient","administration"
"administrais","administration"
"administrait","administration"
"administrant","administration"
"administrateur","administration"
"administrateurs","administration"
"administratifs","administratif"
"administrations","administration"
"administrative","administratif"
"administrative-financière","administratif financier"
"administratives","administratif"
"administratrice","administration"
"administre","administration"
"administrent","administration"
"administrer","administration"
"administrera","administration"
"administrerai","administration"
"administrerons","administration"
"administres","administration"
"administrez","administration"
"administrât","administration"
"administré","administration"
"administrée","administration"
"administrées","administration"
"administrés","administration"
"admise","admis"
"admissibles","admissible"
"admissions","admission"
"ado","ados"
"adolescente","adolescent"
"adolescentes","adolescent"
"adolescents","adolescent"
"adopta","adopter"
"adoptai","adopter"
"adoptaient","adopter"
"adoptais","adopter"
"adoptait","adopter"
"adoptant","adopter"
"adopte","adopter"
"adoptent","adopter"
"adoptera","adopter"
"adopterai","adopter"
"adopteraient","adopter"
"adopterait","adopter"
"adopterez","adopter"
"adopterons","adopter"
"adopteront","adopter"
"adoptez","adopter"
"adoptions","adopter"
"adoptons","adopter"
"adoptât","adopter"
"adoptèrent","adopter"
"adopté","adopter"
"adoptée","adopter"
"adoptées","adopter"
"adoptés","adopter"
"adora","adorer"
"adorai","adorer"
"adoraient","adorer"
"adorais","adorer"
"adorait","adorer"
"adorant","adorer"
"adorante","adorer"
"adorants","adorer"
"adore","adorer"
"adorent","adorer"
"adorera","adorer"
"adorerai","adorer"
"adoreraient","adorer"
"adorerais","adorer"
"adorerait","adorer"
"adoreras","adorer"
"adorerez","adorer"
"adoreriez","adorer"
"adorerions","adorer"
"adorerons","adorer"
"adoreront","adorer"
"adores","adorer"
"adorez","adorer"
"adoriez","adorer"
"adorions","adorer"
"adorons","adorer"
"adorèrent","adorer"
"adoré","adorer"
"adorée","adorer"
"adorées","adorer"
"adorés","adorer"
"adossa","adosser"
"adossai","adosser"
"adossaient","adosser"
"adossais","adosser"
"adossait","adosser"
"adossant","adosser"
"adosse","adosser"
"adossent","adosser"
"adossez","adosser"
"adossèrent","adosser"
"adossé","adosser"
"adossée","adosser"
"adossées","adosser"
"adossés","adosser"
"adoucisseurs","adoucisseur"
"adressa","adresser"
"adressai","adresser"
"adressaient","adresser"
"adressais","adresser"
"adressait","adresser"
"adressant","adresser"
"adressassent","adresser"
"adresse","adresser"
"adressent","adresser"
"adressera","adresser"
"adresserai","adresser"
"adresseraient","adresser"
"adresserais","adresser"
"adresserait","adresser"
"adresseras","adresser"
"adresserez","adresser"
"adresserons","adresser"
"adresseront","adresser"
"adresses","adresser"
"adressez","adresser"
"adressiez","adresser"
"adressions","adresser"
"adressons","adresser"
"adressâmes","adresser"
"adressât","adresser"
"adressèrent","adresser"
"adressé","adresser"
"adressée","adresser"
"adressées","adresser"
"adressés","adresser"
"adroite","adroit"
"adroites","adroit"
"adroits","adroit"
"adultes","adulte"
"adverses","adverse"
"adélaïde","adelaide"
"adélia","adelia"
"adéo","adeo"
"adéquate","adéquat"
"adéquates","adéquat"
"adéquats","adéquat"
"aerien","aérien"
"aero","aéro"
"aeronautique","aéronautique"
"aeroplanes","aéroplanes"
"aerospatiale","aérospatial"
"affaibli","affaiblir"
"affaiblie","affaiblir"
"affaiblies","affaiblir"
"affaiblira","affaiblir"
"affaiblis","affaiblir"
"affaiblissaient","affaiblir"
"affaiblissais","affaiblir"
"affaiblissait","affaiblir"
"affaiblissant","affaiblir"
"affaiblisse","affaiblir"
"affaiblissent","affaiblir"
"affaiblissez","affaiblir"
"affaiblissons","affaiblir"
"affaiblit","affaiblir"
"affaire","affaires"
"affaissa","affaissement"
"affaissaient","affaissement"
"affaissait","affaissement"
"affaissant","affaissement"
"affaisse","affaissement"
"affaissements","affaissement"
"affaissent","affaissement"
"affaisser","affaissement"
"affaisseraient","affaissement"
"affaisserait","affaissement"
"affaissions","affaissement"
"affaissèrent","affaissement"
"affaissé","affaissement"
"affaissée","affaissement"
"affaissées","affaissement"
"affaissés","affaissement"
"affecta","affection"
"affectai","affection"
"affectaient","affection"
"affectais","affection"
"affectait","affection"
"affectant","affection"
"affectassent","affection"
"affectations","affectation"
"affecte","affection"
"affectent","affection"
"affecter","affection"
"affectera","affection"
"affecterai","affection"
"affecteraient","affection"
"affecterait","affection"
"affecteriez","affection"
"affecteront","affection"
"affectez","affection"
"affectiez","affection"
"affections","affection"
"affective","affectives"
"affectons","affection"
"affectâmes","affection"
"affectât","affection"
"affectèrent","affection"
"affecté","affection"
"affectée","affection"
"affectées","affection"
"affectés","affection"
"afficha","affichage"
"affichages","affichage"
"affichaient","affichage"
"affichais","affichage"
"affichait","affichage"
"affichant","affichage"
"affiche","affichage"
"affichent","affichage"
"afficher","affichage"
"affichera","affichage"
"afficherai","affichage"
"afficherait","affichage"
"affiches","affichage"
"afficheurs","afficheur"
"affichez","affichage"
"affichions","affichage"
"affichons","affichage"
"affichât","affichage"
"affichèrent","affichage"
"affiché","affichage"
"affichée","affichage"
"affichées","affichage"
"affichés","affichage"
"affilia","affiliation"
"affiliaient","affiliation"
"affiliant","affiliation"
"affiliations","affiliation"
"affilier","affiliation"
"affilié","affiliation"
"affiliée","affiliation"
"affiliées","affiliation"
"affiliés","affiliation"
"affina","affiner"
"affinaient","affiner"
"affinait","affiner"
"affinant","affiner"
"affine","affiner"
"affinent","affiner"
"affinera","affiner"
"affinerait","affiner"
"affinités","affinité"
"affinons","affiner"
"affiné","affiner"
"affinée","affiner"
"affinées","affiner"
"affirma","affirmer"
"affirmai","affirmer"
"affirmaient","affirmer"
"affirmais","affirmer"
"affirmait","affirmer"
"affirmant","affirmer"
"affirmatifs","affirmatif"
"affirmation","affirmer"
"affirmations","affirmer"
"affirmative","affirmatif"
"affirme","affirmer"
"affirment","affirmer"
"affirmerai","affirmer"
"affirmerait","affirmer"
"affirmeras","affirmer"
"affirmerez","affirmer"
"affirmeriez","affirmer"
"affirmeront","affirmer"
"affirmes","affirmer"
"affirmez","affirmer"
"affirmiez","affirmer"
"affirmions","affirmer"
"affirmons","affirmer"
"affirmât","affirmer"
"affirmèrent","affirmer"
"affirmé","affirmer"
"affirmée","affirmer"
"affirmées","affirmer"
"affirmés","affirmer"
"affouillements","affouillement"
"affranchi","affranchir"
"affranchie","affranchir"
"affranchies","affranchir"
"affranchirait","affranchir"
"affranchis","affranchir"
"affranchissais","affranchir"
"affranchissait","affranchir"
"affranchissant","affranchir"
"affranchisse","affranchir"
"affranchit","affranchir"
"affronta","affronter"
"affrontai","affronter"
"affrontaient","affronter"
"affrontais","affronter"
"affrontait","affronter"
"affrontant","affronter"
"affronte","affronter"
"affrontent","affronter"
"affrontera","affronter"
"affronterai","affronter"
"affronteraient","affronter"
"affronterais","affronter"
"affronterait","affronter"
"affronteras","affronter"
"affronterez","affronter"
"affronterons","affronter"
"affronteront","affronter"
"affrontes","affronter"
"affrontez","affronter"
"affrontiez","affronter"
"affrontions","affronter"
"affrontons","affronter"
"affrontèrent","affronter"
"affronté","affronter"
"affrontée","affronter"
"affrontées","affronter"
"affrontés","affronter"
"affrète","affréteur"
"affréter","affréteur"
"affréterons","affréteur"
"affrétez","affréteur"
